,Title,Genre,Premiere,Runtime,IMDB Score,Language,Premiere Year
549,The Two Popes,Drama,2019-12-20,125,7.6,English,2019
550,"What Happened, Miss Simone?",Documentary,2015-06-26,84,7.6,English,2015
551,Yeh Ballet,Drama,2020-02-21,117,7.6,Hindi,2020
554,Brene Brown: The Call to Courage,Documentary,2019-04-19,76,7.7,English,2019
555,Crip Camp: A Disability Revolution,Documentary,2020-03-25,108,7.7,English,2020
556,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,2017-11-17,94,7.7,English,2017
559,Roma,Drama,2018-12-14,135,7.7,Spanish,2018
561,The Irishman,Crime drama,2019-11-27,209,7.8,English,2019
562,The Trial of the Chicago 7,Drama,2020-10-16,130,7.8,English,2020
563,A Secret Love,Documentary,2020-04-29,82,7.9,English,2020
564,Icarus,Documentary,2017-08-04,120,7.9,English,2017
565,Marriage Story,Drama,2019-12-06,136,7.9,English,2019
566,The Ivory Game,Documentary,2016-11-04,112,7.9,English,2016
567,Struggle: The Life and Lost Art of Szukaiski,Documentary,2018-12-21,105,8.0,English,2018
568,Chasing Coral ,Documentary,2017-07-14,89,8.1,English,2017
569,My Octopus Teacher,Documentary,2020-09-07,85,8.1,English,2020
570,Rising Phoenix,Documentary,2020-08-26,106,8.1,English,2020
571,13th,Documentary,2016-10-07,100,8.2,English,2016
572,Disclosure: Trans Lives on Screen,Documentary,2020-06-19,107,8.2,English,2020
574,Seaspiracy,Documentary,2021-03-24,89,8.2,English,2021
575,The Three Deaths of Marisela Escobedo,Documentary,2020-10-14,109,8.2,Spanish,2020
576,Cuba and the Cameraman ,Documentary,2017-11-24,114,8.3,English,2017
577,Dancing with the Birds,Documentary,2019-10-23,51,8.3,English,2019
580,Winter on Fire: Ukraine's Fight for Freedom,Documentary,2015-10-09,91,8.4,English/Ukranian/Russian,2015
582,Emicida: AmarElo - It's All For Yesterday,Documentary,2020-12-08,89,8.6,Portuguese,2020
583,David Attenborough: A Life on Our Planet,Documentary,2020-10-04,83,9.0,English,2020
