,Title,Genre,Premiere,Runtime,IMDB Score,Language,Premiere Year
130,Hold the Dark,Thriller,2018-09-28,125,5.6,English,2018
131,"Love, Guaranteed",Romantic comedy,2020-09-03,91,5.6,English,2020
134,The Last Laugh,Comedy-drama,2019-01-11,98,5.6,English,2019
137,The Paramedic,Thriller,2020-09-16,94,5.6,Spanish,2020
138,The Sleepover,Comedy,2020-08-21,103,5.6,English,2020
140,Why Did You Kill Me?,Documentary,2021-04-14,83,5.6,English,2021
146,Eli,Horror,2019-10-18,98,5.7,English,2019
147,Ginny Weds Sunny,Romantic comedy,2020-10-09,125,5.7,Hindi,2020
148,Good Sam,Drama,2019-05-16,89,5.7,English,2019
149,Lionheart,Comedy,2019-01-04,94,5.7,English,2019
151,One Take,Documentary,2020-06-18,85,5.7,Thai,2020
152,"Out of Many, One",Documentary,2018-12-12,34,5.7,English,2018
153,Point Blank,Action,2019-07-12,86,5.7,English,2019
154,Prime Time,Thriller,2021-04-14,91,5.7,Polish,2021
156,The Holiday Calendar,Romantic comedy,2018-11-02,95,5.7,English,2018
158,The Wrong Missy,Comedy,2020-05-13,90,5.7,English,2020
159,Velvet Buzzsaw,Thriller,2019-02-01,112,5.7,English,2019
160,Yes Day,Comedy,2021-03-12,86,5.7,English,2021
161,15 August,Comedy-drama,2019-03-29,124,5.8,Marathi,2019
162,A California Christmas,Romantic comedy,2020-12-14,107,5.8,English,2020
163,A Christmas Prince,Romantic comedy,2017-11-17,92,5.8,English,2017
164,All Day and a Night,Drama,2020-05-01,121,5.8,English,2020
165,American Son,Drama,2019-11-01,90,5.8,English,2019
166,Barry,Biopic,2016-12-16,104,5.8,English,2016
167,Candy Jar,Comedy,2018-04-27,92,5.8,English,2018
168,Choked: Paisa Bolta Hai,Drama,2020-06-05,114,5.8,Hindi,2020
169,Class of '83,Drama,2020-08-21,98,5.8,Hindi,2020
171,Happy Anniversary,Romantic comedy,2018-03-30,78,5.8,English,2018
172,I Am All Girls,Thriller,2021-05-14,107,5.8,English,2021
173,Let It Snow,Romantic comedy,2019-11-08,92,5.8,English,2019
175,Operation Christmas Drop,Romantic comedy,2020-11-05,96,5.8,English,2020
